Team,Elo,Strength Score,Attack Score,Defense Score,Recent Form,Power Rating,Predicted Finish
Argentina,2086.1,99.0,54.0,95.6,99.0,87.1,Contender (Win Prob: 34.0%)
Spain,2071.6,98.2,55.1,96.0,83.3,84.8,Contender (Win Prob: 25.0%)
France,2045.3,96.9,53.6,94.6,87.2,84.1,Contender (Win Prob: 8.0%)
Brazil,1970.8,93.0,56.1,96.0,91.1,84.1,Contender (Win Prob: 9.0%)
England,1969.2,92.9,56.1,95.8,91.1,84.0,Likely Semifinalist
Quebec,1513.2,69.0,99.0,96.8,79.3,83.6,TBD
Mexico,1925.2,90.6,53.0,95.5,99.0,83.4,Contender (Win Prob: 7.0%)
Colombia,1959.4,92.4,49.5,95.1,91.1,82.0,Contender (Win Prob: 6.0%)
Germany,1902.8,89.4,56.6,95.1,87.2,82.0,Likely Round of 16
Portugal,1939.3,91.3,53.0,95.2,83.3,81.3,Likely Round of 32
Netherlands,1935.2,91.1,55.5,94.9,79.3,81.2,Likely Quarterfinalist
Morocco,1929.3,90.8,51.0,96.3,83.3,80.8,Likely Quarterfinalist
Japan,1895.7,89.0,53.5,95.1,83.3,80.5,Likely Round of 32
Elba Island,1510.7,68.8,73.2,95.6,99.0,79.8,TBD
Belgium,1867.3,87.5,53.4,93.9,83.3,79.6,Likely Round of 32
Switzerland,1886.7,88.5,51.0,93.5,83.3,79.4,Likely Round of 32
Italy,1866.2,87.5,52.9,95.7,79.3,79.3,TBD
Croatia,1893.7,88.9,52.8,95.6,75.4,79.2,Likely Round of 32
Jersey,1757.7,81.8,60.2,94.9,79.3,78.7,TBD
Ivory Coast,1787.6,83.3,52.1,95.6,87.2,78.6,Group Stage
Ecuador,1899.5,89.2,48.9,93.9,79.3,78.6,Likely Round of 32
Norway,1860.3,87.2,51.5,93.5,79.3,78.3,Group Stage
Isle Of Man,1655.5,76.4,63.7,93.9,87.2,78.3,TBD
Algeria,1826.1,85.4,51.4,95.6,79.3,78.0,Group Stage
Iran,1812.8,84.7,53.9,96.3,75.4,77.9,Group Stage
Austria,1814.3,84.7,53.2,93.8,79.3,77.9,Group Stage
Basque Country,1711.9,79.4,58.9,94.3,83.3,77.8,TBD
Turkey,1851.5,86.7,50.3,94.2,75.4,77.4,Likely Round of 32
Russia,1771.1,82.5,52.8,95.7,79.3,77.2,TBD
Denmark,1824.0,85.3,53.4,94.5,71.5,77.1,TBD
Asturias,1513.3,69.0,62.1,95.6,99.0,77.1,TBD
Surrey,1511.6,68.9,62.1,95.6,99.0,77.1,TBD
German Dr,1687.7,78.1,52.5,94.9,91.1,77.0,TBD
Occitania,1609.3,74.0,63.0,95.1,83.3,76.9,TBD
Czechoslovakia,1726.6,80.1,54.0,94.3,83.3,76.9,TBD
Yorkshire,1533.3,70.0,68.4,93.7,87.2,76.9,TBD
South Korea,1773.1,82.6,53.1,95.9,75.4,76.8,Likely Round of 32
Northern Cyprus,1619.6,74.5,61.3,95.9,83.3,76.8,TBD
Hungary,1727.0,80.2,54.7,94.0,79.3,76.5,TBD
Ukraine,1793.5,83.7,50.4,95.4,75.4,76.4,TBD
Tamil Eelam,1556.3,71.2,59.0,91.7,99.0,76.4,TBD
Guernsey,1687.5,78.1,58.9,94.6,75.4,76.2,TBD
Egypt,1783.1,83.1,52.0,95.6,71.5,76.1,Likely Round of 32
Kurdistan,1548.9,70.8,57.7,97.7,91.1,76.0,TBD
USA,1772.0,82.5,51.2,94.5,75.4,76.0,TBD
Australia,1830.0,85.6,54.8,95.4,59.7,76.0,Group Stage
Paraguay,1846.3,86.4,49.4,94.2,67.5,75.9,Group Stage
Kernow,1557.1,71.3,59.7,93.7,91.1,75.8,TBD
Scotland,1736.7,80.7,52.6,94.8,75.4,75.7,Group Stage
Ynys Môn,1642.8,75.7,53.8,94.2,87.2,75.7,TBD
Nigeria,1771.4,82.5,51.2,95.6,71.5,75.7,TBD
Kárpátalja,1567.1,71.8,56.8,95.0,91.1,75.6,TBD
Yugoslavia,1794.3,83.7,54.4,93.7,63.6,75.4,TBD
Parishes Of Jersey,1506.2,68.6,67.0,94.5,79.3,75.0,TBD
Andalusia,1564.4,71.6,54.2,95.4,91.1,74.9,TBD
Chile,1729.8,80.3,50.4,94.2,75.4,74.9,TBD
Canada,1757.0,81.7,49.6,94.6,71.5,74.7,Likely Round of 32
Uruguay,1835.9,85.9,51.6,94.9,55.7,74.6,Group Stage
Padania,1630.3,75.1,59.8,96.3,67.5,74.4,TBD
Isle Of Wight,1617.4,74.4,57.4,94.8,75.4,74.4,TBD
Canary Islands,1505.6,68.6,60.3,96.5,84.2,74.4,TBD
Maule Sur,1528.7,69.8,47.4,99.0,99.0,74.4,TBD
Cascadia,1526.1,69.6,64.2,92.3,79.3,74.3,TBD
Republic of Ireland,1697.5,78.6,50.0,94.9,75.4,74.2,TBD
Artsakh,1526.6,69.7,61.5,94.7,79.3,74.1,TBD
Poland,1721.5,79.9,52.4,94.5,67.5,74.1,TBD
Senegal,1816.9,84.9,50.2,95.8,55.7,74.0,Group Stage
Sweden,1743.0,81.0,54.5,94.6,59.7,73.9,Group Stage
Cameroon,1671.7,77.3,50.4,95.5,75.4,73.9,TBD
Iraqi Kurdistan,1586.8,72.8,56.7,95.6,75.4,73.7,TBD
Czech Republic,1684.6,77.9,53.1,95.5,67.5,73.7,TBD
Ellan Vannin,1551.1,70.9,58.1,94.1,79.3,73.6,TBD
Serbia,1731.6,80.4,51.3,95.3,63.6,73.6,TBD
Malaysia,1474.3,66.9,52.0,94.1,99.0,73.4,TBD
County Of Nice,1571.2,72.0,55.6,94.1,79.3,73.4,TBD
Venezuela,1750.2,81.4,47.7,92.7,67.5,73.2,TBD
South Africa,1664.5,76.9,50.0,95.8,71.5,73.1,Group Stage
DR Congo,1735.2,80.6,51.0,95.0,59.7,72.9,Group Stage
Guyana,1482.4,67.3,50.1,93.1,99.0,72.9,TBD
Kosovo,1683.2,77.9,50.8,94.5,67.5,72.9,TBD
Papua New Guinea,1470.2,66.7,56.0,92.2,91.1,72.8,TBD
Abkhazia,1587.8,72.9,52.1,96.3,75.4,72.7,TBD
Tahiti,1507.7,68.7,60.1,93.8,75.4,72.6,TBD
Israel,1644.0,75.8,51.1,94.0,71.5,72.6,TBD
Slovakia,1666.2,77.0,50.4,94.8,67.5,72.5,TBD
Romania,1645.1,75.9,51.9,94.7,67.5,72.4,TBD
New Caledonia,1557.2,71.3,59.4,94.3,67.5,72.4,TBD
Saudi Arabia,1669.2,77.1,51.3,95.5,63.6,72.3,Group Stage
Panjab,1538.9,70.3,61.0,93.7,67.5,72.2,TBD
Rhodes,1569.2,71.9,51.9,95.4,75.4,72.1,TBD
Thailand,1517.7,69.2,51.9,94.0,83.3,71.9,TBD
Belarus,1554.2,71.1,48.5,94.0,83.3,71.9,TBD
Sealand,1491.0,67.8,56.6,90.6,83.3,71.9,TBD
Arameans Suryoye,1537.1,70.2,51.8,95.0,79.3,71.9,TBD
Vietnam,1481.8,67.3,52.1,94.4,87.2,71.9,TBD
Wales,1687.3,78.1,49.2,93.6,63.6,71.8,TBD
Georgia,1626.8,74.9,49.2,94.3,71.5,71.8,TBD
Silesia,1490.4,67.8,62.1,91.8,71.5,71.7,TBD
Slovenia,1699.5,78.7,49.1,95.0,59.7,71.7,TBD
Catalonia,1597.9,73.4,51.5,93.1,71.5,71.6,TBD
Cape Verde,1670.5,77.2,48.1,95.2,63.6,71.5,Group Stage
Franconia,1502.7,68.4,59.7,86.6,79.3,71.5,TBD
Ghana,1649.2,76.1,51.5,95.5,59.7,71.4,Group Stage
Tajikistan,1443.5,65.3,51.0,94.3,91.1,71.4,TBD
Bosnia And Herzegovina,1652.4,76.2,50.1,94.4,63.6,71.4,TBD
Chameria,1521.9,69.4,54.8,95.1,71.5,71.2,TBD
Honduras,1653.4,76.3,50.8,94.7,59.7,71.1,TBD
China,1532.7,70.0,53.5,95.3,71.5,71.1,TBD
Peru,1709.2,79.2,48.9,94.3,55.7,71.1,TBD
Panama,1705.4,79.0,49.2,93.9,55.7,71.1,Group Stage
Bulgaria,1524.0,69.5,50.2,93.9,79.3,71.0,TBD
Jamaica,1628.2,75.0,49.8,94.6,63.6,70.9,TBD
Greece,1720.2,79.8,49.3,94.3,51.8,70.9,TBD
Corsica,1537.4,70.2,48.2,97.1,75.4,70.9,TBD
Costa Rica,1694.0,78.4,52.6,95.0,47.9,70.7,TBD
Bolivia,1663.8,76.8,47.5,92.4,63.6,70.6,TBD
Burkina Faso,1649.2,76.1,49.2,94.5,59.7,70.6,TBD
Brittany,1509.4,68.8,51.1,94.8,75.4,70.5,TBD
United Arab Emirates,1616.7,74.4,50.4,94.8,59.7,70.3,TBD
Biafra,1516.3,69.1,44.9,97.9,79.3,70.3,TBD
Vanuatu,1458.6,66.1,53.9,91.8,79.3,70.2,TBD
Délvidék,1496.2,68.1,54.8,93.9,69.5,70.1,TBD
