============================================================
FIFA World Cup 2026 - Phase 2 Statistical Summary
============================================================

Feature Moments (Mean, Median, Mode, Variance, Skewness, Kurtosis):

                              Mean     Median       Mode    Variance  Std Dev  Skewness  Kurtosis
Feature                                                                                          
home_elo_before         1,563.4468 1,557.9400 1,500.0000 29,131.7351 170.6802   -0.0252    0.2497
away_elo_before         1,555.1373 1,553.5400 1,500.0000 28,701.9379 169.4165   -0.1106    0.3062
elo_diff                    8.3095     7.9300     0.0000 34,579.1491 185.9547   -0.0291    1.1102
home_fifa_rank                 NaN        NaN        NaN         NaN      NaN       NaN       NaN
away_fifa_rank                 NaN        NaN        NaN         NaN      NaN       NaN       NaN
fifa_rank_diff                 NaN        NaN        NaN         NaN      NaN       NaN       NaN
home_overall_win_pct        0.3773     0.3843     0.0000      0.0187   0.1366   -0.1112    0.9197
home_draw_pct               0.2070     0.2157     0.0000      0.0043   0.0658    0.0535   10.4699
home_loss_pct               0.4157     0.3906     0.5000      0.0247   0.1573    0.9665    1.3633
home_avg_goals_scored       1.5905     1.5349     1.0000      0.3288   0.5734    2.1526   27.3690
home_avg_goals_conceded     1.7223     1.5333     2.0000      0.6418   0.8011    4.7803   63.1991
home_avg_goal_diff         -0.1318     0.0287     0.0000      1.2493   1.1177   -2.2306   25.8713
home_games_played         122.7173    87.0000     1.0000 13,536.3164 116.3457    1.3797    1.8668
away_overall_win_pct        0.3686     0.3755     0.0000      0.0191   0.1384   -0.1337    0.7285
away_draw_pct               0.2068     0.2158     0.0000      0.0046   0.0680    0.1296   10.6166
away_loss_pct               0.4247     0.3980     0.5000      0.0265   0.1628    0.9561    1.2054
away_avg_goals_scored       1.5640     1.5000     1.0000      0.3258   0.5708    2.0586   36.0961
away_avg_goals_conceded     1.7654     1.5481     2.0000      0.7381   0.8591    4.1042   37.9550
away_avg_goal_diff         -0.2014    -0.0136     0.0000      1.3860   1.1773   -2.1473   18.8220
away_games_played         115.4276    83.0000     1.0000 12,058.0575 109.8092    1.4239    2.1372
home_home_win_pct           0.4806     0.4977     0.5000      0.0245   0.1565   -0.4261    1.0439
away_away_win_pct           0.2647     0.2614     0.0000      0.0180   0.1343    0.4509    1.4555
home_form                   0.4661     0.4667     0.4667      0.0575   0.2397    0.0503   -0.6030
away_form                   0.4576     0.4667     0.4667      0.0573   0.2393    0.0545   -0.6087
home_rest_days             52.2264    15.0000     3.0000  7,355.7100  85.7654    2.4861    5.6629
away_rest_days             51.5297    14.0000     3.0000  7,364.4366  85.8163    2.5016    5.7400
is_neutral                  0.2652     0.0000     0.0000      0.1949   0.4414    1.0638   -0.8684
tournament_importance       0.4242     0.4500     0.2000      0.0404   0.2009    0.4319   -0.3740
year                    1,993.8589 2,000.0000 2,024.0000    647.1318  25.4388   -1.1730    1.2556
month                       6.9022     7.0000     6.0000     10.4437   3.2317   -0.1487   -1.1411
result                      0.7925     1.0000     0.0000      0.7295   0.8541    0.4102   -1.5074

============================================================
